idT,text_mark,gram,leks,punkt,orpho,diskurs,skips,extra,gram1,gram2,gram3,gram4,gram5,gram6,gram7,gram8,gram9,gram10,gram11,gram12,gram13,gram14,leks15,leks16,leks17,leks18,diskurs19,diskurs20,diskurs21,diskurs22,g1,g2,g3,numsent,numtoken,numchar
1040,9,7,0,0,0,1,0,0,0,2,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,7,1,7,71,289
1041,6,8,0,1,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,8,0,11,155,709
1042,7,9,2,0,5,0,1,0,0,1,0,0,1,3,0,0,0,1,0,3,0,0,0,2,0,0,0,0,0,0,4,12,1,20,225,1145
1043,7,10,6,0,7,0,1,0,0,1,2,0,0,2,0,1,0,1,0,3,0,0,0,6,0,0,0,0,0,0,10,14,0,17,209,905
1044,11,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,11,115,581
1045,6,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,10,112,545
1046,8,18,2,1,1,1,1,0,0,0,2,0,0,9,0,0,0,3,0,3,0,1,0,2,0,0,0,1,0,0,8,15,1,20,218,1066
1047,11,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,8,81,343
1048,11,2,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2,0,18,231,1055
1049,10,6,0,0,0,0,0,1,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,20,243,1396
1050,8,6,2,0,12,0,1,0,0,2,2,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,14,5,2,13,102,449
1051,10,1,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,4,2,0,15,142,638
1052,10,2,1,2,3,1,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,4,6,1,13,145,668
1053,10,3,0,0,7,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,19,182,817
1054,10,5,0,1,4,0,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0,16,146,750
1056,10,3,0,2,2,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,1,20,180,829
1057,10,7,0,0,1,1,1,0,0,4,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,6,0,19,163,731
1058,10,2,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,3,1,18,141,646
1059,10,5,2,0,1,0,0,0,0,1,1,0,2,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,3,5,0,18,168,773
1060,11,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,33,206,849
1061,11,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,2,26,212,892
1062,6,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,11,111,491
1063,11,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,22,200,849
1064,11,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,15,172,726
1065,6,1,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,12,120,517
1066,11,2,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,19,184,932
1067,5,3,1,1,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,3,0,13,143,634
1068,10,4,3,0,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,6,0,16,158,799
1069,11,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,1,0,16,212,1090
1070,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,16,114,505
1071,10,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,1,4,0,21,184,841
1072,9,5,4,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3,0,4,0,0,1,0,0,0,1,10,0,21,194,918
1073,10,3,2,0,2,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,3,4,1,31,209,888
1074,11,1,1,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,2,1,19,201,888
